ハチが花にとまった。それが花粉を持っていたからだ。	ハチが花にとまった。花が花粉を持っていたからだ。	ハチが花にとまった。ハチが花粉を持っていたからだ。
ハチが花にとまった。それが花粉がほしかったからだ。	ハチが花にとまった。ハチが花粉がほしかったからだ。	ハチが花にとまった。花が花粉がほしかったからだ。
デビーがティナに水をかけた。彼女はめんどうをおこしたのだ。	デビーがティナに水をかけた。デビーはめんどうをおこしたのだ。	デビーがティナに水をかけた。ティナはめんどうをおこしたのだ。
デビーがティナに水をかけた。彼女はびしょびしょになった。	デビーがティナに水をかけた。ティナはびしょびしょになった。	デビーがティナに水をかけた。デビーはびしょびしょになった。
バスの運転手は子供に怒鳴った。彼女が彼女の車を運転した後のことだ。	バスの運転手は子供に怒鳴った。バスの運転手が彼女の車を運転した後のことだ。	バスの運転手は子供に怒鳴った。子供が彼女の車を運転した後のことだ。
バスの運転手は子供に怒鳴った。彼女が窓ガラスを割ったからだ。	バスの運転手は子供に怒鳴った。子供が窓ガラスを割ったからだ。	バスの運転手は子供に怒鳴った。バスの運転手が窓ガラスを割ったからだ。
ジンボはボバートのところから走って逃げた。彼はひどい臭いがしたからだ。	ジンボはボバートのところから走って逃げた。ボバートはひどい臭いがしたからだ。	ジンボはボバートのところから走って逃げた。ジンボはひどい臭いがしたからだ。
ジンボはボバートのところから走って逃げた。彼が先に車に着きたかったからだ。	ジンボはボバートのところから走って逃げた。ジンボが先に車に着きたかったからだ。	ジンボはボバートのところから走って逃げた。ボバートが先に車に着きたかったからだ。
ジンボはボバートを非難した。彼が動物園から象を盗んだからだ。	ジンボはボバートを非難した。ボバートが動物園から象を盗んだからだ。	ジンボはボバートを非難した。ジンボが動物園から象を盗んだからだ。
ジンボはボバートを非難した。彼は自分の怒りを抑えられなかったのだ。	ジンボはボバートを非難した。ジンボは自分の怒りを抑えられなかったのだ。	ジンボはボバートを非難した。ボバートは自分の怒りを抑えられなかったのだ。
ジンボはボバートのことを怖がった。彼女は初めて会う人々を怖がるのだ。	ジンボはボバートのことを怖がった。ジンボは初めて会う人々を怖がるのだ。	ジンボはボバートのことを怖がった。ボバートは初めて会う人々を怖がるのだ。
ジンボはボバートのことを怖がった。彼女が血のついた槍を持って走り回っていたからだ。	ジンボはボバートのことを怖がった。ボバートが血のついた槍を持って走り回っていたからだ。	ジンボはボバートのことを怖がった。ジンボが血のついた槍を持って走り回っていたからだ。
男は隣人の自転車を盗んだ。彼は一台必要だったからだ。	男は隣人の自転車を盗んだ。男は一台必要だったからだ。	男は隣人の自転車を盗んだ。隣人は一台必要だったからだ。
男は隣人の自転車を盗んだ。彼が一台余分に持っていたからだ。	男は隣人の自転車を盗んだ。隣人が一台余分に持っていたからだ。	男は隣人の自転車を盗んだ。男が一台余分に持っていたからだ。
鳥はパイを食べた。そしてそれは死んだ。	鳥はパイを食べた。そして鳥は死んだ。	鳥はパイを食べた。そしてパイは死んだ。
鳥はパイを食べた。そしてそれは台無しになった。	鳥はパイを食べた。そしてパイは台無しになった。	鳥はパイを食べた。そして鳥は台無しになった。
鳥が枝に止まった。そしてそれは曲がった。	鳥が枝に止まった。そして枝は曲がった。	鳥が枝に止まった。そして鳥は曲がった。
鳥が枝に止まった。そしてそれは囀った。	鳥が枝に止まった。そして鳥は囀った。	鳥が枝に止まった。そして枝は囀った。
メアリーはスーザンの部屋を掃除した。そして彼女は感謝した。	メアリーはスーザンの部屋を掃除した。そしてスーザンは感謝した。	メアリーはスーザンの部屋を掃除した。そしてメアリーは感謝した。
メアリーはスーザンの部屋を掃除した。そして彼女は頼みごとをした。	メアリーはスーザンの部屋を掃除した。そしてメアリーは頼みごとをした。	メアリーはスーザンの部屋を掃除した。そしてスーザンは頼みごとをした。
メアリーはジェニファーを刺した。だからジョンは彼女を病院へ連れて行った。	メアリーはジェニファーを刺した。だからジョンはジェニファーを病院へ連れて行った。	メアリーはジェニファーを刺した。だからジョンはメアリーを病院へ連れて行った。
メアリーはジェニファーを刺した。だからジョンは彼女のことを警察に通報した。	メアリーはジェニファーを刺した。だからジョンはメアリーのことを警察に通報した。	メアリーはジェニファーを刺した。だからジョンはジェニファーのことを警察に通報した。
ライオンはシマウマを食べる。彼らは捕食動物だからだ。	ライオンはシマウマを食べる。ライオンは捕食動物だからだ。	ライオンはシマウマを食べる。シマウマは捕食動物だからだ。
ライオンはシマウマを食べる。彼らは肉付きが良いからだ。	ライオンはシマウマを食べる。シマウマは肉付きが良いからだ。	ライオンはシマウマを食べる。ライオンは肉付きが良いからだ。
コーチは選手を批判した。彼がチームのフォーメーションを守らなかったからだ。	コーチは選手を批判した。選手がチームのフォーメーションを守らなかったからだ。	コーチは選手を批判した。コーチがチームのフォーメーションを守らなかったからだ。
コーチは選手を批判した。彼は皆にチームのフォーメーションを崩さないよう厳命していたからだ。	コーチは選手を批判した。コーチは皆にチームのフォーメーションを崩さないよう厳命していたからだ。	コーチは選手を批判した。選手は皆にチームのフォーメーションを崩さないよう厳命していたからだ。
学究的な同好会はメンバーを失った。彼らに十分な資金がなかったからだ。	学究的な同好会はメンバーを失った。学究的な同好会に十分な資金がなかったからだ。	学究的な同好会はメンバーを失った。メンバーに十分な資金がなかったからだ。
学究的な同好会はメンバーを失った。彼らに自由な時間がなかったからだ。	学究的な同好会はメンバーを失った。メンバーに自由な時間がなかったからだ。	学究的な同好会はメンバーを失った。学究的な同好会に自由な時間がなかったからだ。
ジェームズはロバートに頼みごとをした。しかし彼は断った。	ジェームズはロバートに頼みごとをした。しかしロバートは断った。	ジェームズはロバートに頼みごとをした。しかしジェームズは断った。
ジェームズはロバートに頼みごとをした。しかし彼は断られた。	ジェームズはロバートに頼みごとをした。しかしジェームズは断られた。	ジェームズはロバートに頼みごとをした。しかしロバートは断られた。
教師はウィリアムを推薦しなかった。彼は良い学生ではなかったからだ。	教師はウィリアムを推薦しなかった。ウィリアムは良い学生ではなかったからだ。	教師はウィリアムを推薦しなかった。教師は良い学生ではなかったからだ。
教師はウィリアムを推薦しなかった。彼の基準が高かったからだ。	教師はウィリアムを推薦しなかった。教師の基準が高かったからだ。	教師はウィリアムを推薦しなかった。ウィリアムの基準が高かったからだ。
医師はスーザンに話した。　彼女に癌があることを。	医師はスーザンに話した。　スーザンに癌があることを。	医師はスーザンに話した。　医師に癌があることを。
医師はスーザンに話した。彼女が忙しかったことを。	医師はスーザンに話した。医師が忙しかったことを。	医師はスーザンに話した。スーザンが忙しかったことを。
学生の論文の採点をする教授は言った。彼は馬鹿だと。	学生の論文の採点をする教授は言った。学生は馬鹿だと。	学生の論文の採点をする教授は言った。教授は馬鹿だと。
学生の論文を採点する教授は言った。彼はそれを気に入ったと。	学生の論文を採点する教授は言った。教授はそれを気に入ったと。	学生の論文を採点する教授は言った。学生はそれを気に入ったと。
ジェレミーはジャスティンの邪魔をした。だから彼は部屋を出て行って良い。	ジェレミーはジャスティンの邪魔をした。だからジャスティンは部屋を出て行って良い。	ジェレミーはジャスティンの邪魔をした。だからジェレミーは部屋を出て行って良い。
ジェレミーはジャスティンの邪魔をした。彼が部屋を独占できるようにするために。	ジェレミーはジャスティンの邪魔をした。ジェレミーが部屋を独占できるようにするために。	ジェレミーはジャスティンの邪魔をした。ジャスティンが部屋を独占できるようにするために。
ポーラはポーキーよりネスのほうが好きだった。彼は彼女に親切だったから。	ポーラはポーキーよりネスのほうが好きだった。ネスは彼女に親切だったから。	ポーラはポーキーよりネスのほうが好きだった。ポーキーは彼女に親切だったから。
ポーラはポーキーよりネスの方が好きだった。彼は彼女に意地悪だったから。	ポーラはポーキーよりネスの方が好きだった。ポーキーは彼女に意地悪だったから。	ポーラはポーキーよりネスの方が好きだった。ネスは彼女に意地悪だったから。
ロッキーはクラバー・ラングに負けた。彼は闘う準備ができていなかったからだ。	ロッキーはクラバー・ラングに負けた。ロッキーは闘う準備ができていなかったからだ。	ロッキーはクラバー・ラングに負けた。クラバー・ラングは闘う準備ができていなかったからだ。
ロッキーはクラバー・ラングに負けた。彼は闘う準備ができていたからだ。	ロッキーはクラバー・ラングに負けた。クラバー・ラングは闘う準備ができていたからだ。	ロッキーはクラバー・ラングに負けた。ロッキーは闘う準備ができていたからだ。
アーロンはダンにキスをした。彼がそうしたかったからだ。	アーロンはダンにキスをした。アーロンがそうしたかったからだ。	アーロンはダンにキスをした。ダンがそうしたかったからだ。
アーロンはダンにキスをした。彼にそうしてもらいたかったからだ。	アーロンはダンにキスをした。ダンにそうしてもらいたかったからだ。	アーロンはダンにキスをした。アーロンにそうしてもらいたかったからだ。
学生たちは教授の講義中に居眠りをした。それらが退屈だったからだ。	学生たちは教授の講義中に居眠りをした。教授の講義が退屈だったからだ。	学生たちは教授の講義中に居眠りをした。学生たちが退屈だったからだ。
学生たちは教授の講義中に居眠りをした。彼らは退屈したからだ。	学生たちは教授の講義中に居眠りをした。学生たちは退屈したからだ。	学生たちは教授の講義中に居眠りをした。教授の講義は退屈したからだ。
デリックは上司に昇給を求めた。しかし彼はそうしてもらえなかった。	デリックは上司に昇給を求めた。しかしデリックはそうしてもらえなかった。	デリックは上司に昇給を求めた。しかし上司はそうしてもらえなかった。
デリックは上司に昇給を求めた。しかし彼はそうしてやらなかった。	デリックは上司に昇給を求めた。しかし上司はそうしてやらなかった。	デリックは上司に昇給を求めた。しかしデリックはそうしてやらなかった。
陪審員たちは被告人等の運命について何時間も審議した。しかし彼らは評決に達しなかった。	陪審員たちは被告人等の運命について何時間も審議した。しかし陪審員たちは評決に達しなかった。	陪審員たちは被告人等の運命について何時間も審議した。しかし被告人等は評決に達しなかった。
陪審員たちは被告人等の運命につて何時間も審議した。しかし彼らは死刑判決を受けなかった。	陪審員たちは被告人等の運命につて何時間も審議した。しかし被告人等は死刑判決を受けなかった。	陪審員たちは被告人等の運命につて何時間も審議した。しかし陪審員たちは死刑判決を受けなかった。
オーケストラは聴衆からブーイングを受けた。彼らが下手な演奏をしたからだ。	オーケストラは聴衆からブーイングを受けた。オーケストラが下手な演奏をしたからだ。	オーケストラは聴衆からブーイングを受けた。聴衆が下手な演奏をしたからだ。
オーケストラは聴衆のブーイングを受けた。彼らはロックバンドを期待していたからだ。	オーケストラは聴衆のブーイングを受けた。聴衆はロックバンドを期待していたからだ。	オーケストラは聴衆のブーイングを受けた。オーケストラはロックバンドを期待していたからだ。
ジェイコブはウィリアムにお金を渡した。彼がいくらか必要としていたからだ。	ジェイコブはウィリアムにお金を渡した。ウィリアムがいくらか必要としていたからだ。	ジェイコブはウィリアムにお金を渡した。ジェイコブがいくらか必要としていたからだ。
ジェイコブはウィリアムにお金を渡した。彼が車を売ったからだ。	ジェイコブはウィリアムにお金を渡した。ジェイコブが車を売ったからだ。	ジェイコブはウィリアムにお金を渡した。ウィリアムが車を売ったからだ。
アレクサンドラはケリーに入れ墨をするなと言った。彼女は彼女を保守的に育てたからだ。	アレクサンドラはケリーに入れ墨をするなと言った。アレクサンドラは彼女を保守的に育てたからだ。	アレクサンドラはケリーに入れ墨をするなと言った。ケリーは彼女を保守的に育てたからだ。
アレクサンドラはケリーに入れ墨をするなと言った。彼女がプロ意識に欠けると見られそうだからだ。	アレクサンドラはケリーに入れ墨をするなと言った。ケリーがプロ意識に欠けると見られそうだからだ。	アレクサンドラはケリーに入れ墨をするなと言った。アレクサンドラがプロ意識に欠けると見られそうだからだ。
オリビアはエミリーに忠告しようとした。しかし彼女は関心を示さなかった。	オリビアはエミリーに忠告しようとした。しかしエミリーは関心を示さなかった。	オリビアはエミリーに忠告しようとした。しかしオリビアは関心を示さなかった。
オリビアはエミリーに忠告しようとした。しかし彼女は撥ね付けられた。	オリビアはエミリーに忠告しようとした。しかしオリビアは撥ね付けられた。	オリビアはエミリーに忠告しようとした。しかしエミリーは撥ね付けられた。
ジェームズはシュリーのアーケードに行った。そして彼は切符を頼んだ。	ジェームズはシュリーのアーケードに行った。そしてジェームズは切符を頼んだ。	ジェームズはシュリーのアーケードに行った。そしてシュリーは切符を頼んだ。
ジェームズはシュリーのアーケードに行った。しかし彼は彼を中に入れなかった。	ジェームズはシュリーのアーケードに行った。しかしシュリーは彼を中に入れなかった。	ジェームズはシュリーのアーケードに行った。しかしジェームズは彼を中に入れなかった。
カートはアレックスの飛行機に乗って行った。そして彼は彼に感謝した。	カートはアレックスの飛行機に乗って行った。そしてカートは彼に感謝した。	カートはアレックスの飛行機に乗って行った。そしてアレックスは彼に感謝した。
カートはアレックスの飛行機に乗って行った。そして彼は彼にまた来るよう言った。	カートはアレックスの飛行機に乗って行った。そしてアレックスは彼にまた来るよう言った。	カートはアレックスの飛行機に乗って行った。そしてカートは彼にまた来るよう言った。
ビルはジョンに強盗された。だから警察は彼を逮捕した。	ビルはジョンに強盗された。だから警察はジョン逮捕した。	ビルはジョンに強盗された。だから警察はビル逮捕した。
ビルはジョンに強盗された。だから警察は彼を助けた。	ビルはジョンに強盗された。だから警察はビル助けた。	ビルはジョンに強盗された。だから警察はジョン助けた。
彼はニコニコマークに雪を乗せた。それは濡れていたからだ。	彼はニコニコマークに雪を乗せた。雪は濡れていたからだ。	彼はニコニコマークに雪を乗せた。ニコニコマークは濡れていたからだ。
彼はニコニコマークに雪を乗せた。それが乾いていたからだ。	彼はニコニコマークに雪を乗せた。ニコニコマークが乾いていたからだ。	彼はニコニコマークに雪を乗せた。雪が乾いていたからだ。
子猫は毛糸で遊んだ。それが楽しかったからだ。	子猫は毛糸で遊んだ。毛糸が楽しかったからだ。	子猫は毛糸で遊んだ。子猫が楽しかったからだ。
子猫は毛糸で遊んだ。それは退屈していたからだ。	子猫は毛糸で遊んだ。子猫は退屈していたからだ。	子猫は毛糸で遊んだ。毛糸は退屈していたからだ。
私は自分の斧で木を切り倒した。それが丈高かったからだ。	私は自分の斧で木を切り倒した。木が丈高かったからだ。	私は自分の斧で木を切り倒した。自分の斧が丈高かったからだ。
私は自分の斧で木を切り倒した。それが鋭敏だったからだ。	私は自分の斧で木を切り倒した。自分の斧が鋭敏だったからだ。	私は自分の斧で木を切り倒した。木が鋭敏だったからだ。
スパイダーマンはマグニトを倒した。彼は良い人だからだ。	スパイダーマンはマグニトを倒した。スパイダーマンは良い人だからだ。	スパイダーマンはマグニトを倒した。マグニトは良い人だからだ。
スパイダーマンはマグニトを倒した。彼は悪い人だからだ。	スパイダーマンはマグニトを倒した。マグニトは悪い人だからだ。	スパイダーマンはマグニトを倒した。スパイダーマンは悪い人だからだ。
市民たちは政府に反抗した。彼らが抑圧されていたからだ。	市民たちは政府に反抗した。市民たちが抑圧されていたからだ。	市民たちは政府に反抗した。政府が抑圧されていたからだ。
市民たちは政府に反抗した。彼らが卑劣だったからだ。	市民たちは政府に反抗した。政府が卑劣だったからだ。	市民たちは政府に反抗した。市民たちが卑劣だったからだ。
猫は犬より賢い。彼らはいつも足から着地するからだ。	猫は犬より賢い。猫はいつも足から着地するからだ。	猫は犬より賢い。犬はいつも足から着地するからだ。
猫は犬より賢い。彼らは理由無く吠えるからだ。	猫は犬より賢い。犬は理由無く吠えるからだ。	猫は犬より賢い。猫は理由無く吠えるからだ。
ボールが窓に当たった。ビルはそれを修理した。	ボールが窓に当たった。ビルは窓を修理した。	ボールが窓に当たった。ビルはボールを修理した。
ボールが窓に当たった。ビルはそれをキャッチした。	ボールが窓に当たった。ビルはボールをキャッチした。	ボールが窓に当たった。ビルは窓をキャッチした。
ロバートはクリスを首にした。彼は仕事ができなかったからだ。	ロバートはクリスを首にした。クリスは仕事ができなかったからだ。	ロバートはクリスを首にした。ロバートは仕事ができなかったからだ。
ロバートはクリスを首にした。彼はもはや従業員を必要としなかったからだ。	ロバートはクリスを首にした。ロバートはもはや従業員を必要としなかったからだ。	ロバートはクリスを首にした。クリスはもはや従業員を必要としなかったからだ。
スティーブはジョニーを引っ掻いた。彼は怒っていたからだ。	スティーブはジョニーを引っ掻いた。スティーブは怒っていたからだ。	スティーブはジョニーを引っ掻いた。ジョニーは怒っていたからだ。
